Date,EUR,YTD
2005-07-11,0.84005,0.80985
2005-07-12,0.8329200000000001,0.80828
2005-07-13,0.82196,0.80665
2005-07-14,0.82075,0.80828
2005-07-15,0.8287100000000001,0.80769
2005-07-18,0.82829,0.80815
2005-07-19,0.8296,0.80952
2005-07-20,0.8357700000000001,0.80567
2005-07-21,0.8289799999999999,0.80743
2005-07-22,0.82055,0.8132699999999999
2005-07-25,0.82352,0.81513
2005-07-26,0.8288399999999999,0.8202799999999999
2005-07-27,0.83424,0.8221700000000001
2005-07-28,0.8340299999999999,0.82183
2005-07-29,0.82645,0.8309799999999999
2005-08-01,0.8269200000000001,0.8315299999999999
2005-08-02,0.8184,0.83063
2005-08-03,0.81853,0.8295299999999999
2005-08-04,0.81248,0.83181
2005-08-05,0.81175,0.83452
2005-08-08,0.8073600000000001,0.8304299999999999
2005-08-09,0.8084100000000001,0.82891
2005-08-10,0.8086,0.81653
2005-08-11,0.80795,0.8144
2005-08-12,0.80613,0.8174600000000001
2005-08-15,0.80276,0.81593
2005-08-16,0.80815,0.8184
2005-08-17,0.81215,0.81057
2005-08-18,0.8132699999999999,0.8105
2005-08-19,0.8188,0.81096
2005-08-22,0.8208200000000001,0.80913
2005-08-23,0.8175899999999999,0.81347
2005-08-24,0.8174600000000001,0.81633
2005-08-25,0.81893,0.8237899999999999
2005-08-26,0.81486,0.82775
